biodegradation_time_days,biodegradation_percentage,study_id,instance,adjusted_hb_ratio_formulation_mol,adjusted_hv_ratio_formulation_mol,biodegradation_condition,degradation_mechanism,additives,t_biodeg,degradation_environment,additive_type_1,additive1_percentage_wt,additive_type_2,additive2_percentage_wt,additive_type_3,additive3_percentage_wt,sample_shape_morphology,pha_degrading_microbes
5.0,3.0,1,1,79.2,10.8,aerobic,hydrolysis_assisted_microbial_assimilation,yes,58.0,compost_organic_fertilizer,plasticizer,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated
8.0,4.0,1,1,79.2,10.8,aerobic,hydrolysis_assisted_microbial_assimilation,yes,58.0,compost_organic_fertilizer,plasticizer,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated
12.0,5.0,1,1,79.2,10.8,aerobic,hydrolysis_assisted_microbial_assimilation,yes,58.0,compost_organic_fertilizer,plasticizer,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated
18.0,6.0,1,1,79.2,10.8,aerobic,hydrolysis_assisted_microbial_assimilation,yes,58.0,compost_organic_fertilizer,plasticizer,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated
22.0,6.0,1,1,79.2,10.8,aerobic,hydrolysis_assisted_microbial_assimilation,yes,58.0,compost_organic_fertilizer,plasticizer,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated
30.0,7.0,1,1,79.2,10.8,aerobic,hydrolysis_assisted_microbial_assimilation,yes,58.0,compost_organic_fertilizer,plasticizer,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated
33.0,15.0,1,1,79.2,10.8,aerobic,hydrolysis_assisted_microbial_assimilation,yes,58.0,compost_organic_fertilizer,plasticizer,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated
37.0,16.0,1,1,79.2,10.8,aerobic,hydrolysis_assisted_microbial_assimilation,yes,58.0,compost_organic_fertilizer,plasticizer,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated
42.0,21.0,1,1,79.2,10.8,aerobic,hydrolysis_assisted_microbial_assimilation,yes,58.0,compost_organic_fertilizer,plasticizer,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated
47.0,26.0,1,1,79.2,10.8,aerobic,hydrolysis_assisted_microbial_assimilation,yes,58.0,compost_organic_fertilizer,plasticizer,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated
